entry,language,meaning_1,meaning_2,mark,split
б=ичіа́й,Botlih,нарушить сорвать,нарушение срыв подрыв,0,train
sankabumas,Lithuanian,сцепление,сцепляемость,0,train
hala,Zulu,делать в спешке кое как,о неистовом безумном поведении о ловле по имке о поддевании на крюк беспорядочно суетливо,0,train
traukinys,Lithuanian,поезд,greitasis traukinys скорый поезд,0,train
şor,Azeri,творожный,солонцовый содержащий солонцы,1,train
dessforiiten,Norwegian,кн кроме помимо того,разг впрочем,0,train
rhawffon,Welsh,"spade, shovel, paddle(-staff), spud",(?dict.) shovel handle,0,train
къвара́й,Botlih,с теснить,обузить,0,train
3),Nogai,сжимание,выжимание отжимание,0,train
sprekke,Norwegian,трескаться по рас треснутьзРР лопаться Хлопнуть,раскалываться расколотьсяс,0,train
ἐπιτάφιος,Ancient greek,справляемый у могилы поминальный,произносимый над могилой надгробный,0,train
crwn,Welsh,"round, circular, rotund, spherical, globular","fat, plump, fleshy",1,train
sakit,Azeri,тихо кругом тихо,успокаивать успокоить,0,train
priskirti,Lithuanian,причислять,относить,0,train
адæлгом,Osetian,опрокинуть вверх дном,распластать лицом вниз,0,train
phuthaza,Zulu,щупать нащупывать шарить,залезать в карман,0,train
байлав,Nogai,вязать связывать привязывать,препятствовать стеснять и,1,train
бырсын,Osetian,валить опрокидывать,напирать,0,train
atpalaiduoti,Lithuanian,освобождать,развязывать,1,train
desman,Azeri,выхухоль,выхухолевый выхухолий выхухольный сделанный из шкурок выхухоля выхухолий мех,0,train
eftersyn,Danish,осмотр освидетельствование,инспектирование контроль проверка,0,train
хауæн,Osetian,место падения,обвал,0,train
təvazösüz,Azeri,нескромный нескромный человек,нескромно,0,train
στόλος,Ancient greek,военная экспедиция поход,стебель стержень,0,train
цiи́,Botlih,запасливый бережливый,сберегательный,0,train
бацiи́,Botlih,достать получить,гье ба́ц и наставать приближаться,0,train
сувланув,Nogai,мокнуть намокать промокать,обводняться,0,train
μαγγανεύω,Ancient greek,колдовать ворожить,морочить обманывать,1,train
бекъва́й,Botlih,сушить засушить,вялить,0,train
sapīt,Latvian,наплести сплести наплести корзин,заплести заплетать заплести косу,0,train
lalaza,Zulu,точить оттачивать,говорить с вызовом,1,train
κάθεξις,Ancient greek,удерж ив ание сохранение,задерживание задержка,0,train
щайи́,Botlih,шейх должностное лицо мусульманского духовенства,маг волшебник,1,train
süni,Azeri,искусственный ненатуральный ненастоящий,притворный деланный неискренний искусственный смех искусственная улыбка искусственные манеры,1,train
isi-bopho,Zulu,веревка шнур,связь,1,train
spesiålkunnskaper,Norwegian,специальная задача,особое поручение,0,train
dum,Norwegian,глупый неумный,глупый тупой,0,train
pants,Latvian,статья,стих куплет,0,train
га́ру,Botlih,шея,воротник,1,train
kitabça,Azeri,небольшая книга,в составе названий различных докуметов в виде сшитых вместе листков с каким л текстом и местом для дальнейших официальных отметок трудовая книжка сберегательная книжка членская книжка,0,train
habitat,Norwegian,комплекс зданий,водолазный колоколс а,0,train
skår,Norwegian,осколок черепок обломок бой,зарубка,0,train
кадасув,Nogai,помогать вонзать втыкать,помогать прикалывать пришпиливать,0,train
агарув,Nogai,белеть становиться белым,седеть становиться седым,0,train
dēlis,Latvian,доска тесина половица доски тёс,щит распределительный щит,0,train
išpūtimas,Lithuanian,выдувание,раздувание,0,train
rhag-grybwyll1,Welsh,previous hint or mention,aforementioned (thing),0,train
um-lisa,Zulu,мужчина,смелый решительный человек,1,train
thomba,Zulu,достигать половой зрелости у обоих полов,ржаветь о железе,1,train
հափշտակիչ,Armenian,Похититель захватчик,Узурпатор,0,train
ἀκρωτηριάζω,Ancient greek,отрубать отсекать,образовать мыс выдаваться в виде мыса,1,train
бакæлын,Osetian,нахлынуть,налиться,0,train
paprastėti,Lithuanian,упрощаться,простеть,0,train
berw1,Welsh,"a boiling, boiling liquid","boiled or stewed food, decoction",0,train
къваре́рхи,Botlih,вольно по выбору по усмотрению,запросто,0,train
sioc,Welsh,шок в т ч электрический,потрясение,1,train
išspausdinti,Lithuanian,напечатать,отпечатать,0,train
τέγγω,Ancient greek,мочить смачивать увлажнять,размягчать смягчать смирять,1,train
şırım,Azeri,бороздить,вспахивая землю делать борозды,0,train
trychni,Welsh,"disaster, calamity, misfortune, failure, tragedy, adversity, destruction","a cutting, splitting, wounding",1,train
лять,Nogai,велеть заставлять повторять заучивать кайтарув кайтар,возвращение напр с дороги,0,train
khona,Zulu,там туда,"так, чтобы",0,train
junior,Danish,юниор,младший член семьи,0,train
sliede,Latvian,рельс железнодорожные рельсы рельсовый путь,колея,0,train
аянышлы,Nogai,жалный достойный сожаления,жалостный жалобный напр о стоне,0,train
um-cibishelo,Zulu,лук для стрельбы,меткий стрелок из лука,0,train
rhingyll,Welsh,сержант,глашатай,1,train
ikri,Latvian,икра,икры,1,train
ligge,Danish,лежать,находиться быть расположенным,1,train
ffan1,Welsh,fan,?section of an army,0,train
ծաղկապատ,Armenian,Цветистый цветастый,Покрытый цветами,0,train
хæл-хæл,Osetian,журчание,хохот,1,train
gamme,Norwegian,старый,от старинный,0,train
биринши,Nogai,первый,передовой,0,train
ymgeiniaf,Welsh,"to be insulting, abusive, or scornful","curse, swear",0,train
алыстырув,Nogai,устраивать борьбу,заставлять драться с кем л,0,train
tætpakket,Danish,битком,набитый переполненный,0,train
vind,Danish,ветер,газы в кишечнике,1,train
cyfiawnder,Welsh,"righteousness, justice, equity, uprightness, justness","right, just claim or title to possession",0,train
раджы,Osetian,давно некогда,рано,1,train
dvest,Latvian,дышать,поэт дуть веять,1,train
karštis,Lithuanian,1. зной,жара,0,train
cena,Latvian,цена любой ценой во что бы то ни стало,ценник,0,train
zalela,Zulu,рожать родить для в,нести яйца нестись о птицах,1,train
grøn,Danish,зелёный,неопытный,1,train
ἐπίκουρος,Ancient greek,помогающий оказывающий помощь,оказывающий покровительство,0,train
кайкалав,Nogai,откидываться назад выгибться назад корпусом,принимать гордую осанку,0,train
i-lungu,Zulu,сустав сочленение,член организации и пр,1,train
nušpiešti,Lithuanian,нарисовывать,обрисовывать,0,train
laistīties,Latvian,плескаться расплёскиваться,блестеть переливать лосниться как жар горит,1,train
айланыс,Nogai,обход объезд,эк обращение кругооборот денег капитала,0,train
мишир,Botlih,выигрыш в борьбе в войне и,ми́ шир де рп лъи выигрыш о деньгах,0,train
ракæрдын,Osetian,скосить траву,отрезать,0,train
ра́ша,Botlih,слово,речь,1,train
lak,Azeri,лаковый,лакский лакский язык,0,train
лæмарын,Osetian,выжимать,давить надавливать,0,train
ynysaf: ynysu,Welsh,to isolate,also fig,0,train
ψαλίς,Ancient greek,ножницы,арка,1,train
presse,Norwegian,давить вьщавить жать жму выжатьа,выжимать Мвыжать штангу В прессовать,0,train
mərkəzləmək,Azeri,центрировать,устанавливать установить центры каких л тел на одну общую ось приводить центр инструмента какой л детали машины в надлежащее положение центрировать оптические стекла центрировать топографический инструмент,0,train
pridaryti,Lithuanian,наделать,притворять,0,train
тегислев,Nogai,ровнять выравнивать делать ров ным разравнивать,выравнивание разравнивайте,0,train
arxivçi,Azeri,архивариус,архивист специалист по архивному делу,0,train
ῥάπτω,Ancient greek,шить сшивать,затевать замышлять подстраивать,1,train
ritēt,Latvian,катиться слёзы катятся,протекать течь только мн см,0,train
dominere,Danish,господствовать властвовать,доминировать преобладать,0,train
uvidende,Danish,незнающий невежественный,несведущий неосведомлённый,0,train
lasīt,Latvian,читать читать лекцию,собирать подбирать колосья,1,train
онлав,Nogai,делить по десяти,удесятерять увеличивать в десять раз,0,train
bange,Danish,испуганный,боязливый робкий,0,train
խարանել,Armenian,Клеймить таврить,Прижигать прижечь,0,train
um-fokazana,Zulu,неимущий бедняк,парень малый,1,train
щунди́,Botlih,рассыпать что либо сыпучее,засыпать покрыть слоем сыпучего,0,train
ἀτιμάζω,Ancient greek,не уважать не почитать пренебрегать презирать,считать недостойным,0,train
sual-cavab,Azeri,проводить провести опрос,допрашивать допросить,0,train
dykai,Lithuanian,попусту,даром,0,train
համանուն,Armenian,Одноимённый,Омонимический омонимичный,0,train
anwahanedigol,Welsh,"individual, separate",indiscriminate,1,train
ἀγυιεύς,Ancient greek,покровитель дорог и улиц хранитель путей эпитет Аполлона,алтарь или столб в честь Аполлона,0,train
оювланган,Nogai,украшенный орнаментами узорами,вышитый,0,train
aksept,Azeri,акцепт,форма безналичных расчётов между организациями,0,train
аив,Osetian,красивый,"разукрашивать, приводить в порядок",0,train
ангом,Osetian,быть подогнанным плотно пригнанным,уплотниться,0,train
а́хiул,Botlih,сигнал призыв,восклицательный знак,1,train
cefnwr,Welsh,"one who turns his back, seceder",full-back,0,train
ekstraordinær,Norwegian,экстраординарный чрезвычайный,от чрезвычайный внеочередной,0,train
aizsolot,Latvian,а пройти мимо,прошагать пройти шагом,0,train
u-hlelo,Zulu,размещение,план проект,0,train
narstyti,Lithuanian,разбирать (нпр. машину),ломить (руку),1,train
аразын,Osetian,делать изготовлять производить,обращать направлять,0,train
eluleka,Zulu,быть вытянутым протянутым,советовать наставлять,1,train
кьантіи́,Botlih,о твердеть,храбреть смелеть,1,train
bestemmelse,Danish,решение постановление,назначение предназначение,0,train
սաստկագին,Armenian,Чрезмерный,Чрезмерно,0,train
parçalanma,Azeri,разрыв,рассечение,0,train
opstrammer,Danish,уточнение,взбадривающее средство рюмочка,0,train
сса́рдай,Botlih,вращать,отвернуть свернуть повернуть куда л в сторону обратить оружие,0,train
σκευοποιέω,Ancient greek,изготовлять делать,наряжать одевать,1,train
τετράμετρον,Ancient greek,четверть медимна,тетраметр стих из четырех диподиев,0,train
izturība,Latvian,выносливость стойкость выдержка,прочность крепость,1,train
κύριος,Ancient greek,имеющий власть властвующий господствующий,главный основной важнейший,0,train
քաղցրություն,Armenian,Сладость,Сладости,0,train
i-thumbu,Zulu,кишка,трубка,1,train
susekti,Lithuanian,выследить,открыть,1,train
qopha,Zulu,отрезать,делать зам тки отмечать изучать анализировать,1,train
կենդանացում,Armenian,Воскресение воскрешение возвращение к жизни,Оживление,0,train
cwarel2,Welsh,square-headed arrow used in a crossbow,square or diamond-shaped pane of glass,0,train
methaf: methu,Welsh,"to be unable to (do something), fail (to complete an action, fulfil an intention, &c.)","cause to fail, undo",0,train
κατέχω,Ancient greek,держать,достигать совершать,1,train
ξυγκαταβαίνω,Ancient greek,вместе идти вниз спускаться,соглашаться,1,train
лiурди́,Botlih,пере двинуться сместиться,ползти,0,train
aizritēt,Latvian,укатиться покатиться,проходить пройти миновать,1,train
nedgang,Danish,спуск,заход солнца,1,train
լար,Armenian,Шнур бечёвка,Хорда,1,train
αὐλός,Ancient greek,свирель флейта,трубка сосуд каналец,1,train
khuleka,Zulu,упрашивать умолять о ч м л,почитать чтить благоговеть,1,train
кьи́,Botlih,ресница,бровь,1,train
besætning,Danish,команда экипаж личный состав,поголовье скота,0,train
isi-dubulo,Zulu,удар контузия,внезапный поворот событий,1,train
dømjme,Danish,судить,осуждать приговаривать,0,train
mawrfudd,Welsh,"bringing great benefit, very beneficial",great benefit or profit,0,train
bina,Azeri,здание общественные здания жилые здания многоэтажные высотные здания перед зданием у здания вид здания устойчивость здания,начало начало работы,0,train
isi-gwadlulo,Zulu,лом,подъ мное устройство,0,train
ὑπεραίρω,Ancient greek,высоко поднимать,превосходить превышать,1,train
tarpas,Lithuanian,промежуток,зазор,0,train
isi-khombisa,Zulu,указательный палец,семь число,1,train
сура́б,Botlih,плохой,неудовлетворительный,0,train
adnewyddiad,Welsh,ремонт,новшество,1,train
isi-dakwa,Zulu,пьяница,наркоман,1,train
սռսուռ,Armenian,Чистый,Рассыпчатый зернистый,0,train
раивгъуийын,Osetian,уйти,пройти мимо,0,train
μελετάω,Ancient greek,заботиться усердно думать,обучать учить воспитывать,1,train
актарылув,Nogai,переворачиваться перевёртываться опрокидываться,выворачиваться о карманах,0,train
бекъи́,Botlih,пол полу половина,наполовину,0,train
νικόστρατος,Ancient greek,афинский полководец времен Пелопоннесской войны,командир аргивского отряда на службе у Артаксеркса Оха,0,train
nizamla,Azeri,по порядку располагать по порядку,стройно строем лететь строем,0,train
pielūgt,Latvian,поклоняться,упросить его нельзя упросить он непреклонен,0,train
berette,Danish,рассказывать,докладывать,0,train
mabwys,Welsh,adoption,(dict.) adopted child,0,train
izotoniya,Azeri,одинаковость напряжения давления,относительное постоянство осмотического давления в жидких средах и тканях организма,0,train
обыр,Nogai,вампир упырь,скряга,1,train
ахсидын,Osetian,сварить закалить металл,прокипятить,0,train
troende,Norwegian,верующий религиозный,убеждённый,0,train
drept,Norwegian,сбиватьМсбить,расстрелять израсходовать при стрельбе,0,train
düşərgə,Azeri,стан,временное поселение разбить лагерь,0,train
vattet,Danish,слабо безвольно,слабый бесхарактерный безвольный,0,train
yapışdırtmaq,Azeri,клеить наклеить приклеить что на что,влепить к ом у что,1,train
ачъил,Osetian,сделать обод,загнуть что л,0,train
ава,Nogai,воздух,климат,1,train
бегъа́й,Botlih,дознаться выведать выяснить,известить,1,train
ξυμπληρόω,Ancient greek,заполнять,составлять образовывать,0,train
tu,Welsh,"side, edge",company (of people),1,train
pliekti,Lithuanian,бичевать,стегать,0,train
i-bhodi,Zulu,совет директоров учредителей,доска,1,train
rėžti,Lithuanian,резать,заехать в рожу,1,train
таг,Osetian,зона полоса,роща полоса леса продольная,0,train
səmərə,Azeri,польза положительный результат благоприятные для кого л чего л последствия прок получать пользу от чего для пользы дела дать пользу принести пользу в чём польза от этого,результат плод то что является продуктом каких л действий чьей л деятельности плод созидательного труда получить нужный результат не дало результатов что,0,train
би́,Botlih,душегуб убийца би́ дулаб о волке,"засыхание, высыхание",0,train
йыйырув,Nogai,морщить,делать складки на одежде,0,train
ххаба́ргучіада,Botlih,молчком,невзначай,1,train
байхъусын,Osetian,послушать,внять отнестись со вниманием,0,train
crebwyll,Welsh,"creative or perceptive faculty, perception",genius,0,train
tyfiant,Welsh,"growth, a growing or maturing, development, increase","?medicine, medication",0,train
bhixa,Zulu,мазать,чернить порочить компрометировать,1,train
izvārīt,Latvian,сварить сварить суп,прокипятить,0,train
pīpēt,Latvian,курить,курить,0,train
paredzēt,Latvian,предвидеть р предвидеть ход событий,предусмотреть предусматривать,0,train
эв,Nogai,эй оклик который преимущественно употребляют женщины,ой ух выражение испуга,0,train
blāzma,Latvian,зарево зарево пожара,заря утренняя заря,0,train
zālājs,Latvian,газон,трава многолетние травы,0,train
um-hlangabezo,Zulu,встреча прием,соревнование,1,train
запыран,Nogai,жёлчь,никотин,1,train
įvykti,Lithuanian,происходить,осуществляться,0,train
nyathela,Zulu,ступать по земле,давить прижимать сверху,1,train
кьуди-ба́й,Botlih,пропасть,утёс,1,train
pavērt,Latvian,приоткрыть приоткрывать приотворить приотворять р приоткрыть дверь,открыть открывать,0,train
фæдзæбæх,Osetian,вылечивать,хорошеть,1,train
զավթել,Armenian,Захватывать захватить,Покорять покорить подчинять подчинить,0,train
басенк,Osetian,проскочить пробежать промчаться,перепрыгнуть,0,train
cyfeiriaf: cyfeirio,Welsh,"to direct, guide",address letter,1,train
ἀνάλογον,Ancient greek,соответственно пропорционально аналогически по аналогии,в геометрической прогрессии,0,train
շարամեջ,Armenian,Междурядье,Междурядный,0,train
atslinkti,Lithuanian,приползать,приближаться,0,train
gwynfardd,Welsh,"privileged bard (lit. handsome bard, blessed bard)",druid (the highest bardic order in the Gorsedd of Bards),0,train
gorffennol,Welsh,"final, conclusive, finishing","the past, bygone times",1,train
ἀνάβλησις,Ancient greek,предотвращение отклонение отсрочка,промедление задержка,0,train
арххащи́,Botlih,вязать вязаные изделия связать навязать,вить плести,1,train
азгыртув,Nogai,велеть заставлять искушать соблазнять совращать,велеть заставлять подстрекать,0,train
potvynis,Lithuanian,наводнение,половодье,0,train
uždanga,Lithuanian,занавес,завеса,0,train
çapmaq,Azeri,резать разрезать резать камни резать солому,рубить разрубать разрубить,0,train
ἄπολις,Ancient greek,не имеющий или лишенный отечества,не имеющий гражданских установлений,0,train
trwy1,Welsh,"through, from end to end or side to side of, over, across, along, also fig","by (means of), through the medium of",0,train
joma,Latvian,геогр бухта,перен область в области внешней политики,1,train
պաղեցում,Armenian,Охлаждение,Замораживание,0,train
bulvar,Azeri,бульвар приморский бульвар,бульварный,0,train
ми́,Botlih,дорога путь,раз,1,train
afsked,Danish,прощание,увольнение,1,train
lak,Danish,лак,сургуч,0,train
tréningsantrekk,Norwegian,тренировочный костюм,учебный самолёт,0,train
iandstridskrefter,Norwegian,длинный,пять метров,0,train
dabula,Zulu,рвать разрывать,давать начало создавать,1,train
հանցավոր,Armenian,Преступный,Виновник,0,train
rausis,Latvian,пирог пирожок лепёшка,жмыхи,0,train
λιάζομαι,Ancient greek,отходить уходить удаляться,опрокидываться падать,1,train
prieiga,Lithuanian,доступ,подступ,0,train
աշխարհ,Armenian,Мир,Страна,1,train
simtgadīgs,Latvian,столетний,перен вековой вековой дуб,0,train
պատժիչ,Armenian,Карательный,Каратель карательный отряд,0,train
mirgėti,Lithuanian,мерцать,сверкать,0,train
къоркъол,Botlih,яичко анат мошонка,грыжа,1,train
тiагiа́н,Botlih,привкус,сперма,1,train
æддагон,Osetian,внешний,чужой посторонний иноземный,1,train
iškyšulys,Lithuanian,выступ,мыс,1,train
nušvilpti,Lithuanian,освистывать,уноситься,0,train
yiyəsiz,Azeri,бесхозный бесхозяйный не имеющий хозяина никому не принадлежащий ничей бесхозное место бесхозное имущество,остаться без хозяина,0,train
stift,Norwegian,гвоздик штифт,кнопка канцелярская иголка проигрывателя,1,train
арув,Nogai,уставать изнемогать,худеть исхудать,1,train
çırpmaq,Azeri,встряхивать встряхнуть взяв тряхнуть распрямляя очищая от мусора пыли встряхнуть скатерть встряхнуть пальто,тряся очистить от пыли соли от содержимого трясти одеяло трясти мешок трясти ковры,0,train
կորցնել,Armenian,Терять потерять растерять утерять утрачивать утратить упускать упустить,Удалять удалить уводить увести далеко,0,train
dingisa,Zulu,вызывать нужду,вызывать удивление озадачивать изгонять из родных мест выселять депортировать,1,train
iepriekšējs,Latvian,предварительный а предварительная продажа билетов,предыдущий предшествующий в,0,train
æвæрд,Osetian,положенный,отложение,0,train
æвæрæг,Osetian,кладущий откладывающий,устанавливающий,0,train
барліи́,Botlih,нести носить,терпеть,1,train
мыкрызлык,Nogai,хитрость,жадность скупость,1,train
aruthroldeb,Welsh,"wondrousness, marvellousness","enormousness, immensity, vastness",1,train
йыйрыклы,Nogai,морщинистый в морщинах имеющий морщины напр о лбе,в складках со складками о платье,0,train
ябылув,Nogai,закрываться затворяться,закрываться быть закрытым ликвидироваться быть ликвидированным напр об учереждении,0,train
um-nakwabo,Zulu,его их зять,обращение к близкому другу подруге,1,train
um-hlalaphansi,Zulu,уход со службы в отставку,безделье ничегонеделание,1,train
laukan,Lithuanian,наружу,вон,0,train
beskære,Danish,обрезать подрезать,урезать сокращать,0,train
хъул,Botlih,надежда,шанс,1,train
nakekela,Zulu,быть осторожным внимательным,заботиться о,1,train
хъва́й-хъва́гiай,Botlih,заметка краткая надпись,писанина,0,train
atliekos,Lithuanian,излишки,отходы,1,train
ἀποσῴζω,Ancient greek,спасать избавлять спасаться уцелевать,хранить в памяти,1,train
sleja,Latvian,столбец,гранка,0,train
baugu,Lithuanian,страшно,жутко,0,train
լեղաճաք,Armenian,Объятый ужасом,В ужасе устрашить душа ушла в пятки,0,train
суьювши,Nogai,любящий,целующий,1,train
արձան,Armenian,Статуя мраморная статуя,Памятник,0,train
этимология,Nogai,поправляться,с мясом,0,train
ба́хир,Botlih,взбучка битье удар,попадание,0,train
б=ичіа́й,Botlih,нарушить сорвать,расход трата,0,train
οἰωνίζομαι,Ancient greek,гадать по полету и крику птиц заниматься птицегаданием,считать знамением принимать за предзнаменование,0,train
opgivelse,Danish,отказ,сведения,0,train
ἐπιλέγω,Ancient greek,выбирать избирать,думать заботиться,1,train
rytmetys,Lithuanian,утро,утреннее время,0,train
πίναξ,Ancient greek,доска,произведение живописи картина,1,train
myndling,Norwegian,монета,наличные деньги мн ж,0,train
nkwe,Zulu,о высыхании,о наступлении рассвета,1,train
хæст,Osetian,бой битва сражение,война,0,train
šūkis,Lithuanian,призыв,девиз,0,train
алданув,Nogai,обманываться впадать в заблуждение поддаваться обману,забавляться развлекаться,1,train
ahəngdar,Azeri,гармоничный гармоничное сочетание красок гармоничное расположение чего л,благозвучный благозвучный музыкальный инструмент,0,train
бахъахъхъæнæг,Osetian,сберёгший,защитивший,0,train
rekommandasjon,Norwegian,рекомендация,редк оформление в качестве заказного почтового отправления,0,train
хьвада́й,Botlih,проплутать,пользоваться употреблять,0,train
offentlighed,Danish,общественность,открытость,0,train
ἐπουράνιος,Ancient greek,небесный живущий на в небе,под небесный пролегающий по небу,0,train
sobraf,Welsh,"to make or become sober (after being drunk), sober (up)","make or become serious, earnest, or sensible",1,train
šeimyna,Lithuanian,семья,челядь,1,train
jēls,Latvian,сырой а сырое мясо,разг непристойный сальный,1,train
эжуьв,Nogai,напев мотив мелодия,подпевание без слов,0,train
ἀναλύω,Ancient greek,распускать,развертывать,0,train
coethder,Welsh,"elegance, refinement",wittiness,1,train
παραγράφω,Ancient greek,приписывать записывать рядом вписывать,обозначать пометкой помечать на полях,0,train
ак,Nogai,белый,бледный,1,train
led,Norwegian,сустав,звено,1,train
ayaq,Azeri,ножной ножная машина ножная ванна ножной тормоз ножная педаль,ступать ступить приходить прийти ни сесть ни встать где плюнуть негде ногой ступить негде яблоку негде упасть ходить больше чем нужно много ходить с определенной целью не попадать бить ниже цели о стрельбе винтовка бьёт ниже цели упорно стоять на своём упрямиться заупрямиться артачиться заартачиться,0,train
siklon,Azeri,циклон,область пониженного атмосферного давления с преобладанием пасмурной погоды и сильными ветрами мокрые циклоны заполнение циклона затухание циклона,0,train
dzelzis,Latvian,разг желёзка старое железо,мн оковы кандалы,1,train
gazinga,Zulu,поджаривать печь на огне,подвергать пытке допрашивать,1,train
čyžti,Lithuanian,хлестать,бить,0,train
ке́чіи,Botlih,стих стихотворение,песня,1,train
mase,Danish,надрываться на работе работать до изнеможения,давить прессовать протирать через сито,1,train
քառոտանի,Armenian,Четвероногий о животных,Четырёхстопный,0,train
му́гъерхи,Botlih,достаточно,вмеру,0,train
atdarīt,Latvian,открьшать открыть,отплатить отплачивать,0,train
griuvimas,Lithuanian,падение (режима),обвал (стены),1,train
naujintelis,Lithuanian,новенький,новехонький,0,train
